序號,名稱,地址
1,有記名茶,臺北市大同區重慶北路二段64巷26號
2,台北地下街,臺北市中正區市民大道一段100號B1
3,華山1914文化創意產業園區,臺北市中正區八德路一段1號
4,東東玩具城,臺北市大同區太原路54號
5,財團法人台北市關渡宮,臺北市北投區知行路360號
6,穠舍田園咖啡義大利菜,臺北市內湖區碧山路38號
7,亞尼克夢想村陽明山店,臺北市士林區長春街6巷5號
8,雅博客二手書店,臺北市大安區新生南路3段76巷9號1樓
9,長榮海事博物館,臺北市中正區中山南路11號
10,町記憶旅店,臺北市萬華區昆明街119號
11,途中台北青年旅舍,臺北市北投區光明路82號
12,禮客outlet公館店,臺北市中正區思源街16號1樓
13,門片咖啡,臺北市士林區天玉街38巷7號
14,遊藝思文創空間,臺北市大安區辛亥路二段171巷15號
15,大華行－竹木造咖,臺北市大同區迪化街1段161號
16,大稻埕花園旅店,臺北市大同區迪化街1段334號
17,丹迪旅店大安森林公園店,臺北市大安區信義路3段33號
18,台北馥華商旅南港館,臺北市南港區三重路23號
19,郭元益糕餅博物館,臺北市士林區文林路546號4樓
