,DateTime,GEO,EN,ES,WN,WS,Stop,Total,lng,lat,geometry
29187,2023111410,"121.555,25.069",14,25,1,10,37,87,121.555,25.069,POINT (121.555 25.069)
29188,2023111410,"121.611,25.049",70,63,152,127,1428,1840,121.611,25.049,POINT (121.611 25.049)
29189,2023111410,"121.573,25.029",88,93,152,84,336,753,121.573,25.029,POINT (121.573 25.029)
29190,2023111410,"121.621,25.089",1,4,3,1,11,20,121.621,25.089,POINT (121.621 25.089)
29191,2023111410,"121.541,25.079",64,60,118,181,466,889,121.541,25.079,POINT (121.541 25.079)
29192,2023111410,"121.601,25.019",21,1,2,6,1,31,121.601,25.019,POINT (121.601 25.019)
29193,2023111410,"121.579,25.091",6,2,10,10,8,36,121.579,25.091,POINT (121.579 25.091)
29194,2023111410,"121.517,25.099",30,17,37,51,117,252,121.517,25.099,POINT (121.517 25.099)
29195,2023111410,"121.605,25.095",7,4,12,8,41,72,121.605,25.095,POINT (121.605 25.095)
29196,2023111410,"121.545,25.089",0,2,3,1,3,9,121.545,25.089,POINT (121.545 25.089)
29197,2023111410,"121.533,25.011",27,38,39,68,309,481,121.533,25.011,POINT (121.533 25.011)
29198,2023111410,"121.611,25.035",10,14,39,39,196,298,121.611,25.035,POINT (121.611 25.035)
29199,2023111410,"121.553,25.009",3,3,2,2,10,20,121.553,25.009,POINT (121.553 25.009)
29200,2023111410,"121.581,25.099",2,1,5,0,2,10,121.581,25.099,POINT (121.581 25.099)
29201,2023111410,"121.555,25.089",8,6,13,7,17,51,121.555,25.089,POINT (121.555 25.089)
29202,2023111410,"121.551,25.091",6,9,8,6,17,46,121.551,25.091,POINT (121.551 25.091)
29203,2023111410,"121.573,25.097",0,4,0,9,2,15,121.573,25.097,POINT (121.573 25.097)
29204,2023111410,"121.607,25.027",82,1,23,35,5,146,121.607,25.027,POINT (121.607 25.027)
29205,2023111410,"121.593,25.001",58,59,11,46,27,201,121.593,25.001,POINT (121.593 25.001)
29206,2023111410,"121.539,25.073",103,176,215,85,175,754,121.539,25.073,POINT (121.539 25.073)
29207,2023111410,"121.531,25.073",70,270,152,47,193,732,121.531,25.073,POINT (121.531 25.073)
29208,2023111410,"121.565,25.003",42,36,42,43,241,404,121.565,25.003,POINT (121.565 25.003)
29209,2023111410,"121.507,25.097",6,15,11,37,47,116,121.507,25.097,POINT (121.507 25.097)
29210,2023111410,"121.509,25.077",336,158,162,68,103,827,121.509,25.077,POINT (121.509 25.077)
29211,2023111410,"121.561,25.097",1,1,1,0,1,4,121.561,25.097,POINT (121.561 25.097)
29212,2023111410,"121.607,25.025",6,1,5,4,4,20,121.607,25.025,POINT (121.607 25.025)
29213,2023111410,"121.595,25.099",2,0,3,0,0,5,121.595,25.099,POINT (121.595 25.099)
29214,2023111410,"121.553,25.097",35,38,9,12,45,139,121.553,25.097,POINT (121.553 25.097)
29215,2023111410,"121.529,25.081",7,17,20,6,70,120,121.529,25.081,POINT (121.529 25.081)
29216,2023111410,"121.585,25.055",48,70,32,73,299,522,121.585,25.055,POINT (121.585 25.055)
29217,2023111410,"121.589,25.021",0,1,0,1,0,2,121.589,25.021,POINT (121.589 25.021)
29218,2023111410,"121.615,25.025",1,0,2,3,0,6,121.615,25.025,POINT (121.615 25.025)
29219,2023111410,"121.587,25.035",6,28,9,28,55,126,121.587,25.035,POINT (121.587 25.035)
29220,2023111410,"121.619,25.027",0,1,0,4,11,16,121.619,25.027,POINT (121.619 25.027)
29221,2023111410,"121.541,25.093",2,7,16,29,13,67,121.541,25.093,POINT (121.541 25.093)
29222,2023111410,"121.607,25.065",102,103,24,76,169,474,121.607,25.065,POINT (121.607 25.065)
29223,2023111410,"121.525,25.075",133,217,201,208,117,876,121.525,25.075,POINT (121.525 25.075)
29224,2023111410,"121.609,25.045",3,6,15,35,18,77,121.609,25.045,POINT (121.609 25.045)
29225,2023111410,"121.585,25.015",5,4,0,2,29,40,121.585,25.015,POINT (121.585 25.015)
29226,2023111410,"121.533,25.095",22,56,7,37,152,274,121.533,25.095,POINT (121.533 25.095)
29227,2023111410,"121.621,25.025",0,4,0,1,1,6,121.621,25.025,POINT (121.621 25.025)
29228,2023111410,"121.593,25.005",2,2,2,9,6,21,121.593,25.005,POINT (121.593 25.005)
29229,2023111410,"121.611,25.095",1,0,0,2,1,4,121.611,25.095,POINT (121.611 25.095)
29230,2023111410,"121.559,25.075",23,42,20,41,64,190,121.559,25.075,POINT (121.559 25.075)
29231,2023111410,"121.497,25.043",8,15,9,13,28,73,121.497,25.043,POINT (121.497 25.043)
29232,2023111410,"121.527,25.013",53,72,79,69,121,394,121.527,25.013,POINT (121.527 25.013)
29233,2023111410,"121.603,25.027",11,0,4,10,2,27,121.603,25.027,POINT (121.603 25.027)
29234,2023111410,"121.609,25.035",5,7,8,13,29,62,121.609,25.035,POINT (121.609 25.035)
29235,2023111410,"121.551,25.075",19,20,19,15,51,124,121.551,25.075,POINT (121.551 25.075)
29236,2023111410,"121.579,25.065",220,208,261,283,2921,3893,121.579,25.065,POINT (121.579 25.065)
29237,2023111410,"121.533,25.079",113,39,71,58,836,1117,121.533,25.079,POINT (121.533 25.079)
29238,2023111410,"121.555,25.071",26,45,25,16,55,167,121.555,25.071,POINT (121.555 25.071)
29239,2023111410,"121.561,25.011",20,24,21,19,73,157,121.561,25.011,POINT (121.561 25.011)
29240,2023111410,"121.527,25.081",11,43,38,35,115,242,121.527,25.081,POINT (121.527 25.081)
29241,2023111410,"121.607,25.061",53,20,27,29,131,260,121.607,25.061,POINT (121.607 25.061)
29242,2023111410,"121.531,25.011",46,60,34,32,126,298,121.531,25.011,POINT (121.531 25.011)
29243,2023111410,"121.541,25.097",77,123,73,35,126,434,121.541,25.097,POINT (121.541 25.097)
29244,2023111410,"121.571,25.067",14,24,10,18,25,91,121.571,25.067,POINT (121.571 25.067)
29245,2023111410,"121.591,25.099",27,25,8,5,38,103,121.591,25.099,POINT (121.591 25.099)
29246,2023111410,"121.635,25.027",15,17,26,2,5,65,121.635,25.027,POINT (121.635 25.027)
29247,2023111410,"121.555,25.017",28,61,34,66,143,332,121.555,25.017,POINT (121.555 25.017)
29248,2023111410,"121.493,25.097",10,25,40,26,85,186,121.493,25.097,POINT (121.493 25.097)
29249,2023111410,"121.583,25.029",10,17,4,18,61,110,121.583,25.029,POINT (121.583 25.029)
29250,2023111410,"121.637,25.029",3,4,1,5,5,18,121.637,25.029,POINT (121.637 25.029)
29251,2023111410,"121.607,25.037",1,1,5,2,11,20,121.607,25.037,POINT (121.607 25.037)
29252,2023111410,"121.569,25.077",147,346,323,479,3014,4309,121.569,25.077,POINT (121.569 25.077)
29253,2023111410,"121.621,25.079",21,9,12,12,53,107,121.621,25.079,POINT (121.621 25.079)
