時間,lon,lat,無意義,往東北,往東南,往西南,往西北,停止
11-14_23-00-00,121.633,25.011,0.0,2,0,0,0,8
11-14_23-00-00,121.477,25.041,0.0,1,0,1,0,5
11-14_23-00-00,121.561,25.011,0.0,1,3,3,3,9
11-14_23-00-00,121.487,25.031,0.0,2,0,3,3,2
11-14_23-00-00,121.515,25.021,0.0,1,1,2,3,6
11-14_23-00-00,121.627,25.033,0.0,0,0,3,2,0
11-14_23-00-00,121.601,25.023,0.0,3,0,0,0,1
11-14_23-00-00,121.573,25.091,0.0,0,0,1,0,1
11-14_23-00-00,121.479,25.041,0.0,2,1,0,1,0
11-14_23-00-00,121.645,25.001,0.0,0,0,1,0,0
11-14_23-00-00,121.591,25.091,0.0,0,1,1,1,13
11-14_23-00-00,121.597,25.019,0.0,1,0,0,0,0
11-14_23-00-00,121.469,25.039,0.0,1,1,1,1,0
11-14_23-00-00,121.499,25.099,0.0,2,0,4,5,2
11-14_23-00-00,121.495,25.049,0.0,1,2,1,1,2
11-14_23-00-00,121.633,25.013,0.0,1,0,3,0,1
11-14_23-00-00,121.623,25.023,0.0,0,1,0,0,1
11-14_23-00-00,121.629,25.053,0.0,0,0,1,0,1
11-14_23-00-00,121.627,25.073,0.0,2,1,1,0,6
11-14_23-00-00,121.587,25.023,0.0,0,0,0,0,1
11-14_23-00-00,121.573,25.089,0.0,1,1,0,0,1
11-14_23-00-00,121.641,25.039,0.0,0,0,0,0,1
11-14_23-00-00,121.617,25.009,0.0,0,1,0,0,2
11-14_23-00-00,121.585,25.025,0.0,0,0,0,0,1
11-14_23-00-00,121.473,25.065,0.0,2,2,2,2,2
11-14_23-00-00,121.593,25.035,0.0,2,2,0,0,2
11-14_23-00-00,121.645,25.055,0.0,0,0,2,1,4
11-14_23-00-00,121.575,25.099,0.0,0,1,0,1,0
11-14_23-00-00,121.635,25.039,0.0,0,5,1,1,4
11-14_23-00-00,121.583,25.019,0.0,0,1,0,0,0
11-14_23-00-00,121.609,25.029,0.0,0,1,2,1,3
11-14_23-00-00,121.565,25.019,0.0,1,0,1,0,1
11-14_23-00-00,121.505,25.079,0.0,3,1,2,2,3
11-14_23-00-00,121.641,25.047,0.0,2,1,1,0,1
11-14_23-00-00,121.599,25.017,0.0,0,0,2,0,0
11-14_23-00-00,121.489,25.037,0.0,0,0,1,1,3
11-14_23-00-00,121.491,25.017,0.0,0,0,2,2,4
11-14_23-00-00,121.607,25.027,0.0,2,0,1,0,0
11-14_23-00-00,121.627,25.097,0.0,0,0,0,0,1
11-14_23-00-00,121.555,25.007,0.0,1,1,3,1,12
11-14_23-00-00,121.655,25.087,0.0,1,0,0,0,0
11-14_23-00-00,121.607,25.061,0.0,2,1,1,2,7
11-14_23-00-00,121.583,25.031,0.0,1,0,0,0,6
11-14_23-00-00,121.507,25.071,0.0,1,0,0,1,5
11-14_23-00-00,121.567,25.011,0.0,0,4,0,2,5
11-14_23-00-00,121.627,25.041,0.0,1,2,3,0,1
11-14_23-00-00,121.495,25.045,0.0,0,2,0,1,3
11-14_23-00-00,121.627,25.075,0.0,2,1,0,1,4
11-14_23-00-00,121.605,25.025,0.0,2,1,1,0,0
11-14_23-00-00,121.623,25.025,0.0,0,1,0,0,0
11-14_23-00-00,121.647,25.055,0.0,0,1,4,0,1
11-14_23-00-00,121.643,25.095,0.0,2,0,1,0,0
