"臺北市政府警察局固定式科技執法設備設置地點一覽表"
"違規停車科技執法","","","","",""
"編號","設置位置","","取締項目","轄區","拍攝方向"
"1","市府轉運站前(忠孝東路五段)","違規停車","","信義","西往東"
"2","臺北車站北側門(市民大道一段)","違規停車","","中正一","西往東"
"3","臺北醫學院周邊(吳興街220巷)","違規停車","","信義","南北雙向"
"4","馬偕醫院周邊(中山北路二段92號)","違規停車","","中山","北往南"
"5","臺北轉運站前(市民大道一段)","違規停車","","大同","東西雙向"
"6","南港車站前(市民大道八段)","違規停車","","南港","東西雙向"
"7","內湖路一段739號前","違規停車","","內湖","東西雙向"
"8","捷運公館站前(羅斯福路四段68號至108巷前)","違規停車","","中正二","南北雙向"
"9","臺北榮總醫院周邊(石牌路二段與立農街口周
邊及石牌路二段與天母西路口周邊)","違規停車","","北投","東西雙向"
"高架道路多功能科技執法","","","",""
"編號","設置位置","取締項目","轄區","拍攝方向"
"1","市民高架道路(近臺北車站及臺北轉運站上方)","逾10噸大貨車違規行駛、機車違規行駛及行駛路肩","中正一、
中山","東西雙向"
"2","建國高架道路(市民大道上方)","逾10噸大貨車違規行駛、機車違規行駛及不依標誌標
線號誌指示行駛","大安","南北雙向"
"路口多功能科技執法","","","",""
"編號","設置位置","取締項目","轄區","拍攝方向"
"1","鄭州路與西寧北路口","闖紅燈、不停讓行人、不依規定轉彎、不依標誌標線
號誌指示行駛","大同","多向"
"2","市民大道與承德路口","闖紅燈、不停讓行人、不依規定轉彎、不依標誌標線
號誌指示行駛、違規停車","中正一、
大同","多向"
"3","民權西路與承德路口","闖紅燈、不依規定轉彎、不依標誌標線號誌指示行駛","大同","多向"
"4","民權西路與延平北路口","闖紅燈、不停讓行人、不依規定轉彎、不依標誌標線
號誌指示行駛、汽車行駛機車道(上匝)","大同","多向"
"5","民權西路與蘭州街口 ","闖紅燈、不依規定轉彎","大同","多向"
"6","大直街與北安路口","闖紅燈、不依規定轉彎、不依標誌標線號誌指示行
駛、違規停車","中山","多向"
"7","民權東路與建國北路口","闖紅燈、不停讓行人、不依規定轉彎、不依標誌標線
號誌指示行駛、違規停車","中山","多向"
"8","市民大道與中山北路口","闖紅燈、不停讓行人、不依規定轉彎、不依標誌標線
號誌指示行駛","中山、中
正一","多向"
"9","市民大道與建國南路口","闖紅燈、不依規定轉彎、不依標誌標線號誌指示行駛","中山、大
安","多向"
"10","市民大道與林森北路口 ","闖紅燈、不依規定轉彎、不依標誌標線號誌指示行駛","中山、中
正一","多向"
"11","和平東路與基隆路口","闖紅燈、不停讓行人、不依規定轉彎、不依標誌標線
號誌指示行駛","大安、信
義","多向"
"12","信義路與建國南路口","闖紅燈、不停讓行人、不依規定轉彎、不依標誌標線
號誌指示行駛","大安","多向"
"13","辛亥路與基隆路口","闖紅燈、不停讓行人、不依規定轉彎、不依標誌標線
號誌指示行駛、機車行駛人行道","大安","多向"
"14","市民大道與敦化南路口 ","闖紅燈、不停讓行人、不依規定轉彎","大安、松
山","多向"
"15","忠孝東路與基隆路口","闖紅燈、不停讓行人、不依規定轉彎、不依標誌標線
號誌指示行駛","信義","多向"
"16","信義路與基隆路口","闖紅燈、不停讓行人、不依規定轉彎、不依標誌標線
號誌指示行駛","信義","多向"
"17","中正路與延平北路口","闖紅燈、不停讓行人、不依規定轉彎","士林","多向"
"18","大度路與立德路口 ","闖紅燈、不依規定轉彎、不依標誌標線號誌指示行駛","北投","多向"
"19","承德路與福國路口","闖紅燈、不依規定轉彎、不依標誌標線號誌指示行駛","北投","多向"
"20","和平西路與西園路口","闖紅燈、不停讓行人、不依規定轉彎、不依標誌標線
號誌指示行駛","萬華","多向"
"21","辛亥路與木柵路口 ","闖紅燈、不停讓行人、不依規定轉彎、不依標誌標線
號誌指示行駛","文山一","多向"
